***********************./en_de_15k_V1***********************
neg param 0.1 ; split ; sim param 0.05 ; inner sim param 0.05
ents: 15000 + 4919 = 15000
ents: 15000 + 4462 = 15000
all ents: 25500
all rels: 222 120 342
all triples: 38363 + 37377 = 75740
To align: 10500
sparse sim mat to sparse tensor
sparse sim mat to sparse tensor
sparse sim mat to sparse tensor
203/1000, sim loss = 585.515, time = 0.271 s
204/1000, rel loss = 36997.760, time = 0.864 s
205/1000, sim loss = 584.563, time = 0.262 s
206/1000, rel loss = 36775.498, time = 0.864 s
207/1000, sim loss = 583.651, time = 0.286 s
208/1000, rel loss = 36516.132, time = 0.869 s
209/1000, sim loss = 582.731, time = 0.265 s
210/1000, rel loss = 36226.701, time = 0.870 s
211/1000, sim loss = 581.847, time = 0.265 s
212/1000, rel loss = 35977.788, time = 0.870 s
213/1000, sim loss = 580.960, time = 0.270 s
214/1000, rel loss = 35721.757, time = 0.865 s
215/1000, sim loss = 580.073, time = 0.256 s
216/1000, rel loss = 35461.389, time = 0.871 s
217/1000, sim loss = 579.206, time = 0.275 s
218/1000, rel loss = 35182.643, time = 0.865 s
219/1000, sim loss = 578.363, time = 0.280 s
220/1000, rel loss = 34944.730, time = 0.868 s
221/1000, sim loss = 577.503, time = 0.265 s
222/1000, rel loss = 34720.211, time = 0.872 s
223/1000, sim loss = 576.662, time = 0.277 s
224/1000, rel loss = 34487.781, time = 0.866 s
225/1000, sim loss = 575.838, time = 0.271 s
226/1000, rel loss = 34229.159, time = 0.867 s
227/1000, sim loss = 575.039, time = 0.260 s
228/1000, rel loss = 33971.355, time = 0.872 s
229/1000, sim loss = 574.225, time = 0.286 s
230/1000, rel loss = 33757.399, time = 0.866 s
231/1000, sim loss = 573.427, time = 0.263 s
232/1000, rel loss = 33548.632, time = 0.866 s
233/1000, sim loss = 572.634, time = 0.259 s
234/1000, rel loss = 33285.808, time = 0.869 s
235/1000, sim loss = 571.857, time = 0.270 s
236/1000, rel loss = 33099.453, time = 0.867 s
237/1000, sim loss = 571.095, time = 0.259 s
238/1000, rel loss = 32849.360, time = 0.868 s
239/1000, sim loss = 570.339, time = 0.258 s
240/1000, rel loss = 32656.188, time = 0.872 s
241/1000, sim loss = 569.585, time = 0.264 s
242/1000, rel loss = 32412.386, time = 0.868 s
243/1000, sim loss = 568.849, time = 0.266 s
244/1000, rel loss = 32157.679, time = 0.865 s
245/1000, sim loss = 568.146, time = 0.269 s
246/1000, rel loss = 32040.493, time = 0.871 s
247/1000, sim loss = 567.430, time = 0.288 s
248/1000, rel loss = 31814.962, time = 0.868 s
249/1000, sim loss = 566.691, time = 0.257 s
250/1000, rel loss = 31581.699, time = 0.865 s
251/1000, sim loss = 566.006, time = 0.274 s
252/1000, rel loss = 31385.997, time = 0.870 s
253/1000, sim loss = 565.331, time = 0.258 s
254/1000, rel loss = 31196.535, time = 0.869 s
255/1000, sim loss = 564.658, time = 0.257 s
256/1000, rel loss = 30968.067, time = 0.868 s
257/1000, sim loss = 563.979, time = 0.257 s
258/1000, rel loss = 30764.391, time = 0.866 s
259/1000, sim loss = 563.304, time = 0.268 s
260/1000, rel loss = 30634.960, time = 0.864 s
261/1000, sim loss = 562.645, time = 0.267 s
262/1000, rel loss = 30448.841, time = 0.865 s
263/1000, sim loss = 562.010, time = 0.268 s
264/1000, rel loss = 30288.613, time = 0.868 s
265/1000, sim loss = 561.357, time = 0.277 s
266/1000, rel loss = 30025.445, time = 0.870 s
267/1000, sim loss = 560.714, time = 0.275 s
268/1000, rel loss = 29857.682, time = 0.864 s
269/1000, sim loss = 560.090, time = 0.264 s
270/1000, rel loss = 29681.010, time = 0.865 s
271/1000, sim loss = 559.471, time = 0.269 s
272/1000, rel loss = 29521.356, time = 0.868 s
273/1000, sim loss = 558.847, time = 0.278 s
274/1000, rel loss = 29344.593, time = 0.870 s
275/1000, sim loss = 558.237, time = 0.258 s
276/1000, rel loss = 29107.159, time = 0.869 s
277/1000, sim loss = 557.631, time = 0.257 s
278/1000, rel loss = 28993.386, time = 0.865 s
279/1000, sim loss = 557.029, time = 0.277 s
280/1000, rel loss = 28815.908, time = 0.871 s
281/1000, sim loss = 556.434, time = 0.258 s
282/1000, rel loss = 28619.056, time = 0.865 s
283/1000, sim loss = 555.843, time = 0.258 s
284/1000, rel loss = 28522.101, time = 0.866 s
285/1000, sim loss = 555.262, time = 0.257 s
286/1000, rel loss = 28319.826, time = 0.870 s
287/1000, sim loss = 554.681, time = 0.268 s
288/1000, rel loss = 28201.911, time = 0.868 s
289/1000, sim loss = 554.103, time = 0.276 s
290/1000, rel loss = 27990.417, time = 0.868 s
291/1000, sim loss = 553.542, time = 0.275 s
292/1000, rel loss = 27833.701, time = 0.874 s
293/1000, sim loss = 552.988, time = 0.256 s
294/1000, rel loss = 27726.423, time = 0.870 s
295/1000, sim loss = 552.430, time = 0.273 s
296/1000, rel loss = 27561.726, time = 0.868 s
297/1000, sim loss = 551.884, time = 0.269 s
298/1000, rel loss = 27399.143, time = 0.866 s
299/1000, sim loss = 551.350, time = 0.261 s
300/1000, rel loss = 27260.893, time = 0.865 s
X-EN: acc of top [1, 10, 50, 100] = [ 0.2031  0.4586  0.6841  0.7793], mean = 233.665, mrr = 0.290, time = 5.641 s 
EN-X: acc of top [1, 10, 50, 100] = [ 0.22    0.4724  0.6975  0.7856], mean = 252.841, mrr = 0.306, time = 5.652 s 
301/1000, sim loss = 550.823, time = 0.275 s
302/1000, rel loss = 27121.627, time = 0.868 s
303/1000, sim loss = 550.288, time = 0.270 s
304/1000, rel loss = 26907.397, time = 0.868 s
305/1000, sim loss = 549.764, time = 0.258 s
306/1000, rel loss = 26817.965, time = 0.871 s
307/1000, sim loss = 549.236, time = 0.261 s
308/1000, rel loss = 26673.650, time = 0.865 s
309/1000, sim loss = 548.721, time = 0.281 s
310/1000, rel loss = 26567.273, time = 0.872 s
311/1000, sim loss = 548.209, time = 0.277 s
312/1000, rel loss = 26447.104, time = 0.866 s
313/1000, sim loss = 547.711, time = 0.260 s
314/1000, rel loss = 26230.599, time = 0.867 s
315/1000, sim loss = 547.203, time = 0.267 s
