***********************./en_fr_15k_V1***********************
neg param 0.1 ; split ; sim param 0.05 ; inner sim param 0.05
ents: 15000 + 4991 = 15000
ents: 15000 + 4832 = 15000
all ents: 25500
all rels: 221 177 398
all triples: 36508 + 33532 = 70040
To align: 10500
sparse sim mat to sparse tensor
sparse sim mat to sparse tensor
sparse sim mat to sparse tensor
280/1000, rel loss = 26387.886, time = 0.860 s
281/1000, sim loss = 535.083, time = 0.228 s
282/1000, rel loss = 26248.963, time = 0.858 s
283/1000, sim loss = 534.516, time = 0.229 s
284/1000, rel loss = 26105.015, time = 0.863 s
285/1000, sim loss = 533.932, time = 0.232 s
286/1000, rel loss = 25959.430, time = 0.861 s
287/1000, sim loss = 533.356, time = 0.221 s
288/1000, rel loss = 25843.482, time = 0.859 s
289/1000, sim loss = 532.805, time = 0.248 s
290/1000, rel loss = 25697.124, time = 0.853 s
291/1000, sim loss = 532.255, time = 0.238 s
292/1000, rel loss = 25581.115, time = 0.866 s
293/1000, sim loss = 531.704, time = 0.222 s
294/1000, rel loss = 25442.899, time = 0.858 s
295/1000, sim loss = 531.166, time = 0.243 s
296/1000, rel loss = 25271.645, time = 0.874 s
297/1000, sim loss = 530.626, time = 0.239 s
298/1000, rel loss = 25158.885, time = 0.863 s
299/1000, sim loss = 530.086, time = 0.220 s
300/1000, rel loss = 25026.005, time = 0.855 s
X-EN: acc of top [1, 10, 50, 100] = [ 0.2054  0.4972  0.7217  0.8086], mean = 195.438, mrr = 0.304, time = 5.684 s 
EN-X: acc of top [1, 10, 50, 100] = [ 0.2266  0.5041  0.729   0.8125], mean = 195.936, mrr = 0.319, time = 5.657 s 
301/1000, sim loss = 529.572, time = 0.223 s
302/1000, rel loss = 24936.333, time = 0.860 s
303/1000, sim loss = 529.062, time = 0.232 s
304/1000, rel loss = 24803.333, time = 0.859 s
305/1000, sim loss = 528.545, time = 0.224 s
306/1000, rel loss = 24672.706, time = 0.857 s
307/1000, sim loss = 528.049, time = 0.223 s
308/1000, rel loss = 24575.034, time = 0.867 s
309/1000, sim loss = 527.561, time = 0.224 s
310/1000, rel loss = 24433.291, time = 0.860 s
311/1000, sim loss = 527.078, time = 0.223 s
312/1000, rel loss = 24308.848, time = 0.858 s
313/1000, sim loss = 526.562, time = 0.233 s
314/1000, rel loss = 24206.968, time = 0.865 s
315/1000, sim loss = 526.087, time = 0.225 s
316/1000, rel loss = 24076.661, time = 0.859 s
317/1000, sim loss = 525.591, time = 0.228 s
318/1000, rel loss = 23980.389, time = 0.859 s
319/1000, sim loss = 525.135, time = 0.240 s
320/1000, rel loss = 23855.977, time = 0.864 s
321/1000, sim loss = 524.657, time = 0.227 s
322/1000, rel loss = 23753.694, time = 0.859 s
323/1000, sim loss = 524.200, time = 0.221 s
324/1000, rel loss = 23649.447, time = 0.862 s
325/1000, sim loss = 523.750, time = 0.222 s
326/1000, rel loss = 23523.498, time = 0.861 s
327/1000, sim loss = 523.290, time = 0.228 s
328/1000, rel loss = 23419.426, time = 0.861 s
329/1000, sim loss = 522.849, time = 0.230 s
330/1000, rel loss = 23294.516, time = 0.864 s
331/1000, sim loss = 522.390, time = 0.224 s
332/1000, rel loss = 23222.713, time = 0.859 s
333/1000, sim loss = 521.946, time = 0.227 s
334/1000, rel loss = 23117.509, time = 0.857 s
335/1000, sim loss = 521.503, time = 0.221 s
336/1000, rel loss = 23054.017, time = 0.858 s
337/1000, sim loss = 521.052, time = 0.222 s
338/1000, rel loss = 22902.245, time = 0.863 s
339/1000, sim loss = 520.617, time = 0.225 s
340/1000, rel loss = 22821.197, time = 0.863 s
341/1000, sim loss = 520.189, time = 0.227 s
342/1000, rel loss = 22675.878, time = 0.856 s
343/1000, sim loss = 519.767, time = 0.229 s
344/1000, rel loss = 22611.842, time = 0.871 s
345/1000, sim loss = 519.355, time = 0.228 s
346/1000, rel loss = 22510.627, time = 0.860 s
347/1000, sim loss = 518.915, time = 0.225 s
348/1000, rel loss = 22406.720, time = 0.868 s
349/1000, sim loss = 518.514, time = 0.241 s
350/1000, rel loss = 22327.598, time = 0.871 s
351/1000, sim loss = 518.098, time = 0.229 s
