22-45-01

241/1000, sim loss = 609.947, time = 0.217 s
242/1000, rel loss = 69164.274, time = 1.537 s
243/1000, sim loss = 608.674, time = 0.215 s
244/1000, rel loss = 68893.534, time = 1.543 s
245/1000, sim loss = 607.389, time = 0.219 s
246/1000, rel loss = 68545.815, time = 1.553 s
247/1000, sim loss = 606.143, time = 0.218 s
248/1000, rel loss = 68220.695, time = 1.534 s
249/1000, sim loss = 604.932, time = 0.214 s
250/1000, rel loss = 67926.961, time = 1.534 s
251/1000, sim loss = 603.712, time = 0.214 s
252/1000, rel loss = 67596.568, time = 1.545 s
253/1000, sim loss = 602.532, time = 0.216 s
254/1000, rel loss = 67327.982, time = 1.537 s
255/1000, sim loss = 601.367, time = 0.215 s
256/1000, rel loss = 67022.052, time = 1.536 s
257/1000, sim loss = 600.221, time = 0.219 s
258/1000, rel loss = 66660.954, time = 1.519 s
259/1000, sim loss = 599.089, time = 0.214 s
260/1000, rel loss = 66352.094, time = 1.563 s
261/1000, sim loss = 597.957, time = 0.221 s
262/1000, rel loss = 66089.689, time = 1.560 s
263/1000, sim loss = 596.856, time = 0.216 s
264/1000, rel loss = 65777.301, time = 1.598 s
265/1000, sim loss = 595.771, time = 0.223 s
266/1000, rel loss = 65551.222, time = 1.573 s
267/1000, sim loss = 594.710, time = 0.220 s
268/1000, rel loss = 65247.176, time = 1.553 s
269/1000, sim loss = 593.657, time = 0.220 s
270/1000, rel loss = 64982.489, time = 1.539 s
271/1000, sim loss = 592.623, time = 0.216 s
272/1000, rel loss = 64713.656, time = 1.539 s
273/1000, sim loss = 591.601, time = 0.216 s
274/1000, rel loss = 64446.037, time = 1.534 s
275/1000, sim loss = 590.590, time = 0.217 s
276/1000, rel loss = 64246.131, time = 1.547 s
277/1000, sim loss = 589.579, time = 0.220 s
278/1000, rel loss = 64029.568, time = 1.529 s
279/1000, sim loss = 588.592, time = 0.216 s
280/1000, rel loss = 63685.337, time = 1.553 s
281/1000, sim loss = 587.618, time = 0.216 s
282/1000, rel loss = 63437.219, time = 1.551 s
283/1000, sim loss = 586.670, time = 0.218 s
284/1000, rel loss = 63188.324, time = 1.556 s
285/1000, sim loss = 585.721, time = 0.219 s
286/1000, rel loss = 63000.483, time = 1.558 s
287/1000, sim loss = 584.787, time = 0.217 s
288/1000, rel loss = 62770.136, time = 1.552 s
289/1000, sim loss = 583.870, time = 0.216 s
290/1000, rel loss = 62513.262, time = 1.536 s
291/1000, sim loss = 582.975, time = 0.220 s
292/1000, rel loss = 62272.526, time = 1.548 s
293/1000, sim loss = 582.089, time = 0.218 s
294/1000, rel loss = 62066.087, time = 1.557 s
295/1000, sim loss = 581.217, time = 0.217 s
296/1000, rel loss = 61733.550, time = 1.554 s
297/1000, sim loss = 580.355, time = 0.218 s
298/1000, rel loss = 61561.232, time = 1.534 s
299/1000, sim loss = 579.513, time = 0.216 s
300/1000, rel loss = 61338.348, time = 1.561 s
