22-30-10

200/1000, rel loss = 86648.622, time = 2.032 s
201/1000, sim loss = 579.240, time = 0.254 s
202/1000, rel loss = 86099.034, time = 2.018 s
203/1000, sim loss = 577.741, time = 0.250 s
204/1000, rel loss = 85587.661, time = 2.038 s
205/1000, sim loss = 576.241, time = 0.257 s
206/1000, rel loss = 85089.624, time = 2.028 s
207/1000, sim loss = 574.775, time = 0.255 s
208/1000, rel loss = 84615.665, time = 2.020 s
209/1000, sim loss = 573.360, time = 0.255 s
210/1000, rel loss = 84033.550, time = 2.032 s
211/1000, sim loss = 571.963, time = 0.252 s
212/1000, rel loss = 83609.664, time = 2.032 s
213/1000, sim loss = 570.586, time = 0.255 s
214/1000, rel loss = 83169.855, time = 2.037 s
215/1000, sim loss = 569.279, time = 0.259 s
216/1000, rel loss = 82659.652, time = 2.040 s
217/1000, sim loss = 567.959, time = 0.250 s
218/1000, rel loss = 82213.394, time = 2.017 s
219/1000, sim loss = 566.690, time = 0.251 s
220/1000, rel loss = 81766.111, time = 2.030 s
221/1000, sim loss = 565.460, time = 0.252 s
222/1000, rel loss = 81368.215, time = 2.025 s
223/1000, sim loss = 564.234, time = 0.253 s
224/1000, rel loss = 80899.545, time = 2.041 s
225/1000, sim loss = 562.995, time = 0.257 s
226/1000, rel loss = 80421.844, time = 2.040 s
227/1000, sim loss = 561.794, time = 0.252 s
228/1000, rel loss = 80069.468, time = 2.028 s
229/1000, sim loss = 560.658, time = 0.254 s
230/1000, rel loss = 79680.985, time = 2.026 s
231/1000, sim loss = 559.551, time = 0.255 s
232/1000, rel loss = 79249.513, time = 2.044 s
233/1000, sim loss = 558.420, time = 0.253 s
234/1000, rel loss = 78795.265, time = 2.032 s
235/1000, sim loss = 557.328, time = 0.250 s
236/1000, rel loss = 78461.912, time = 2.042 s
237/1000, sim loss = 556.263, time = 0.262 s
238/1000, rel loss = 78101.349, time = 2.038 s
239/1000, sim loss = 555.198, time = 0.250 s
240/1000, rel loss = 77704.496, time = 2.023 s
241/1000, sim loss = 554.185, time = 0.257 s
242/1000, rel loss = 77349.775, time = 2.029 s
243/1000, sim loss = 553.161, time = 0.252 s
244/1000, rel loss = 76901.555, time = 2.039 s
245/1000, sim loss = 552.132, time = 0.252 s
246/1000, rel loss = 76684.617, time = 2.019 s
247/1000, sim loss = 551.138, time = 0.250 s
248/1000, rel loss = 76271.443, time = 2.061 s
249/1000, sim loss = 550.171, time = 0.253 s
250/1000, rel loss = 75900.262, time = 2.041 s
251/1000, sim loss = 549.210, time = 0.252 s
252/1000, rel loss = 75543.687, time = 2.042 s
253/1000, sim loss = 548.271, time = 0.251 s
254/1000, rel loss = 75322.618, time = 2.033 s
255/1000, sim loss = 547.368, time = 0.250 s
256/1000, rel loss = 74933.563, time = 2.028 s
257/1000, sim loss = 546.475, time = 0.252 s
258/1000, rel loss = 74622.780, time = 2.022 s
259/1000, sim loss = 545.590, time = 0.253 s
260/1000, rel loss = 74249.907, time = 2.037 s
261/1000, sim loss = 544.707, time = 0.252 s
