**********************./dbp_wd_15k_V1***********************
neg param 0.1 ; split ; sim param 0.05 ; inner sim param 0.05
ents: 15000 + 5028 = 15000
ents: 15000 + 5976 = 15000
all ents: 25500
all rels: 253 144 397
all triples: 38421 + 40159 = 78580
To align: 10500
sparse sim mat to sparse tensor
sparse sim mat to sparse tensor
sparse sim mat to sparse tensor
362/1000, rel loss = 26131.254, time = 0.874 s
363/1000, sim loss = 511.909, time = 0.401 s
364/1000, rel loss = 26065.956, time = 0.882 s
365/1000, sim loss = 511.527, time = 0.395 s
366/1000, rel loss = 25967.622, time = 0.882 s
367/1000, sim loss = 511.199, time = 0.404 s
368/1000, rel loss = 25912.348, time = 0.880 s
369/1000, sim loss = 510.842, time = 0.410 s
370/1000, rel loss = 25778.282, time = 0.879 s
371/1000, sim loss = 510.473, time = 0.394 s
372/1000, rel loss = 25648.615, time = 0.877 s
373/1000, sim loss = 510.116, time = 0.400 s
374/1000, rel loss = 25603.009, time = 0.878 s
375/1000, sim loss = 509.759, time = 0.400 s
376/1000, rel loss = 25490.493, time = 0.879 s
377/1000, sim loss = 509.390, time = 0.395 s
378/1000, rel loss = 25370.310, time = 0.881 s
379/1000, sim loss = 509.078, time = 0.400 s
380/1000, rel loss = 25249.177, time = 0.881 s
381/1000, sim loss = 508.746, time = 0.405 s
382/1000, rel loss = 25183.949, time = 0.876 s
383/1000, sim loss = 508.405, time = 0.416 s
384/1000, rel loss = 25079.310, time = 0.878 s
385/1000, sim loss = 508.058, time = 0.412 s
386/1000, rel loss = 24965.609, time = 0.877 s
387/1000, sim loss = 507.724, time = 0.424 s
388/1000, rel loss = 24862.436, time = 0.881 s
389/1000, sim loss = 507.382, time = 0.398 s
390/1000, rel loss = 24881.034, time = 0.876 s
391/1000, sim loss = 507.088, time = 0.403 s
392/1000, rel loss = 24675.925, time = 0.879 s
393/1000, sim loss = 506.758, time = 0.399 s
394/1000, rel loss = 24608.698, time = 0.877 s
395/1000, sim loss = 506.459, time = 0.405 s
396/1000, rel loss = 24598.347, time = 0.877 s
397/1000, sim loss = 506.113, time = 0.398 s
398/1000, rel loss = 24461.020, time = 0.882 s
399/1000, sim loss = 505.794, time = 0.403 s
400/1000, rel loss = 24336.352, time = 0.876 s
X-EN: acc of top [1, 10, 50, 100] = [ 0.2045  0.4752  0.708   0.7889], mean = 175.171, mrr = 0.294, time = 5.641 s 
EN-X: acc of top [1, 10, 50, 100] = [ 0.231   0.4828  0.7058  0.7852], mean = 175.931, mrr = 0.316, time = 5.652 s 
401/1000, sim loss = 505.506, time = 0.396 s
402/1000, rel loss = 24314.455, time = 0.881 s
403/1000, sim loss = 505.158, time = 0.397 s
404/1000, rel loss = 24190.910, time = 0.910 s
405/1000, sim loss = 504.871, time = 0.428 s
406/1000, rel loss = 24128.018, time = 0.907 s
407/1000, sim loss = 504.580, time = 0.409 s
408/1000, rel loss = 23962.741, time = 0.880 s
409/1000, sim loss = 504.276, time = 0.404 s
410/1000, rel loss = 23954.406, time = 0.885 s
411/1000, sim loss = 504.006, time = 0.408 s
412/1000, rel loss = 23843.211, time = 0.881 s
413/1000, sim loss = 503.697, time = 0.399 s
414/1000, rel loss = 23716.725, time = 0.880 s
415/1000, sim loss = 503.390, time = 0.397 s
416/1000, rel loss = 23738.184, time = 0.886 s
417/1000, sim loss = 503.109, time = 0.417 s
418/1000, rel loss = 23638.440, time = 0.884 s
419/1000, sim loss = 502.834, time = 0.414 s
420/1000, rel loss = 23476.962, time = 0.880 s
421/1000, sim loss = 502.558, time = 0.393 s
422/1000, rel loss = 23428.996, time = 0.882 s
423/1000, sim loss = 502.274, time = 0.397 s
424/1000, rel loss = 23392.346, time = 0.879 s
425/1000, sim loss = 502.002, time = 0.402 s
426/1000, rel loss = 23260.506, time = 0.883 s
427/1000, sim loss = 501.722, time = 0.407 s
428/1000, rel loss = 23197.330, time = 0.882 s
429/1000, sim loss = 501.437, time = 0.405 s
430/1000, rel loss = 23228.493, time = 0.881 s
431/1000, sim loss = 501.154, time = 0.415 s
432/1000, rel loss = 22960.760, time = 0.876 s
433/1000, sim loss = 500.911, time = 0.406 s
434/1000, rel loss = 22992.040, time = 0.881 s
435/1000, sim loss = 500.661, time = 0.412 s
436/1000, rel loss = 22930.908, time = 0.880 s
437/1000, sim loss = 500.446, time = 0.411 s
438/1000, rel loss = 22885.008, time = 0.881 s
439/1000, sim loss = 500.167, time = 0.396 s
440/1000, rel loss = 22813.434, time = 0.884 s
441/1000, sim loss = 499.907, time = 0.402 s
442/1000, rel loss = 22746.982, time = 0.877 s
443/1000, sim loss = 499.661, time = 0.395 s
444/1000, rel loss = 22591.444, time = 0.880 s
445/1000, sim loss = 499.393, time = 0.418 s
446/1000, rel loss = 22579.836, time = 0.881 s
447/1000, sim loss = 499.163, time = 0.412 s
448/1000, rel loss = 22511.197, time = 0.879 s
449/1000, sim loss = 498.895, time = 0.405 s
450/1000, rel loss = 22424.173, time = 0.877 s
451/1000, sim loss = 498.692, time = 0.403 s
452/1000, rel loss = 22349.308, time = 0.886 s
453/1000, sim loss = 498.414, time = 0.396 s
454/1000, rel loss = 22349.449, time = 0.877 s
455/1000, sim loss = 498.222, time = 0.406 s
456/1000, rel loss = 22281.160, time = 0.878 s
457/1000, sim loss = 497.949, time = 0.392 s
458/1000, rel loss = 22079.933, time = 0.887 s
459/1000, sim loss = 497.712, time = 0.402 s
460/1000, rel loss = 22042.861, time = 0.880 s
461/1000, sim loss = 497.459, time = 0.397 s
462/1000, rel loss = 22068.979, time = 0.884 s
463/1000, sim loss = 497.233, time = 0.401 s
464/1000, rel loss = 21994.948, time = 0.887 s
465/1000, sim loss = 496.994, time = 0.403 s
466/1000, rel loss = 21850.068, time = 0.877 s
467/1000, sim loss = 496.776, time = 0.396 s
468/1000, rel loss = 21833.069, time = 0.881 s
469/1000, sim loss = 496.527, time = 0.396 s
470/1000, rel loss = 21827.227, time = 0.881 s
471/1000, sim loss = 496.292, time = 0.405 s
472/1000, rel loss = 21688.233, time = 0.879 s
473/1000, sim loss = 496.080, time = 0.397 s
474/1000, rel loss = 21607.927, time = 0.878 s
475/1000, sim loss = 495.875, time = 0.402 s
476/1000, rel loss = 21543.245, time = 0.892 s
477/1000, sim loss = 495.652, time = 0.401 s
478/1000, rel loss = 21464.607, time = 0.882 s
479/1000, sim loss = 495.431, time = 0.404 s
480/1000, rel loss = 21460.699, time = 0.883 s
481/1000, sim loss = 495.207, time = 0.411 s
482/1000, rel loss = 21426.881, time = 0.879 s
483/1000, sim loss = 494.987, time = 0.417 s
484/1000, rel loss = 21317.942, time = 0.878 s
485/1000, sim loss = 494.793, time = 0.413 s
486/1000, rel loss = 21195.682, time = 0.886 s
487/1000, sim loss = 494.565, time = 0.394 s
488/1000, rel loss = 21224.541, time = 0.877 s
489/1000, sim loss = 494.364, time = 0.414 s
490/1000, rel loss = 21188.074, time = 0.888 s
491/1000, sim loss = 494.137, time = 0.411 s
492/1000, rel loss = 21085.759, time = 0.883 s
493/1000, sim loss = 493.953, time = 0.398 s
494/1000, rel loss = 21029.661, time = 0.876 s
495/1000, sim loss = 493.762, time = 0.403 s
496/1000, rel loss = 20892.306, time = 0.881 s
497/1000, sim loss = 493.552, time = 0.404 s
498/1000, rel loss = 20808.023, time = 0.878 s
499/1000, sim loss = 493.323, time = 0.399 s
500/1000, rel loss = 20907.710, time = 0.888 s
X-EN: acc of top [1, 10, 50, 100] = [ 0.2106  0.49    0.725   0.805 ], mean = 148.940, mrr = 0.303, time = 5.638 s 
EN-X: acc of top [1, 10, 50, 100] = [ 0.2394  0.5024  0.7262  0.8011], mean = 148.635, mrr = 0.329, time = 5.645 s 
501/1000, sim loss = 493.129, time = 0.399 s
502/1000, rel loss = 20743.210, time = 0.883 s
503/1000, sim loss = 492.921, time = 0.414 s
504/1000, rel loss = 20777.192, time = 0.879 s
505/1000, sim loss = 492.723, time = 0.411 s
506/1000, rel loss = 20695.521, time = 0.881 s
507/1000, sim loss = 492.524, time = 0.397 s
508/1000, rel loss = 20585.369, time = 0.882 s
509/1000, sim loss = 492.342, time = 0.422 s
510/1000, rel loss = 20573.005, time = 0.879 s
511/1000, sim loss = 492.143, time = 0.398 s
512/1000, rel loss = 20561.740, time = 0.879 s
513/1000, sim loss = 491.947, time = 0.403 s
514/1000, rel loss = 20479.426, time = 0.876 s
515/1000, sim loss = 491.760, time = 0.393 s
516/1000, rel loss = 20441.158, time = 0.887 s
517/1000, sim loss = 491.568, time = 0.397 s
518/1000, rel loss = 20361.501, time = 0.887 s
519/1000, sim loss = 491.391, time = 0.414 s
520/1000, rel loss = 20272.290, time = 0.885 s
521/1000, sim loss = 491.209, time = 0.397 s
522/1000, rel loss = 20278.306, time = 0.882 s
523/1000, sim loss = 491.016, time = 0.400 s
524/1000, rel loss = 20185.501, time = 0.882 s
525/1000, sim loss = 490.838, time = 0.405 s
526/1000, rel loss = 20108.677, time = 0.878 s
527/1000, sim loss = 490.663, time = 0.406 s
528/1000, rel loss = 20092.579, time = 0.883 s
529/1000, sim loss = 490.482, time = 0.402 s
530/1000, rel loss = 20044.657, time = 0.882 s
531/1000, sim loss = 490.298, time = 0.416 s
