17-02-21

307/1000, sim loss = 572.800, time = 0.216 s
308/1000, rel loss = 51793.259, time = 1.475 s
309/1000, sim loss = 571.833, time = 0.214 s
310/1000, rel loss = 51580.043, time = 1.492 s
X-EN: acc of top [1, 10, 50, 100] = [ 0.4103  0.7307  0.8749  0.919 ], mean = 82.654, mrr = 0.519, time = 5.569 s 
EN-X: acc of top [1, 10, 50, 100] = [ 0.3952  0.706   0.859   0.905 ], mean = 87.690, mrr = 0.501, time = 5.579 s 
311/1000, sim loss = 570.887, time = 0.220 s
312/1000, rel loss = 51383.879, time = 1.470 s
313/1000, sim loss = 569.976, time = 0.216 s
314/1000, rel loss = 51140.909, time = 1.443 s
315/1000, sim loss = 569.067, time = 0.215 s
316/1000, rel loss = 50962.726, time = 1.459 s
317/1000, sim loss = 568.162, time = 0.215 s
318/1000, rel loss = 50738.208, time = 1.460 s
319/1000, sim loss = 567.279, time = 0.213 s
320/1000, rel loss = 50550.986, time = 1.473 s
X-EN: acc of top [1, 10, 50, 100] = [ 0.411   0.7323  0.8774  0.9204], mean = 80.266, mrr = 0.521, time = 5.576 s 
EN-X: acc of top [1, 10, 50, 100] = [ 0.398   0.7083  0.8596  0.9065], mean = 85.414, mrr = 0.503, time = 5.586 s 
321/1000, sim loss = 566.391, time = 0.218 s
322/1000, rel loss = 50264.223, time = 1.477 s
323/1000, sim loss = 565.513, time = 0.215 s
324/1000, rel loss = 50100.422, time = 1.461 s
325/1000, sim loss = 564.661, time = 0.213 s
326/1000, rel loss = 49892.676, time = 1.472 s
327/1000, sim loss = 563.804, time = 0.217 s
328/1000, rel loss = 49679.421, time = 1.465 s
329/1000, sim loss = 562.957, time = 0.212 s
330/1000, rel loss = 49555.804, time = 1.470 s
X-EN: acc of top [1, 10, 50, 100] = [ 0.4114  0.735   0.8784  0.9217], mean = 78.231, mrr = 0.521, time = 5.574 s 
EN-X: acc of top [1, 10, 50, 100] = [ 0.3982  0.7092  0.8613  0.9075], mean = 83.374, mrr = 0.503, time = 5.584 s 
331/1000, sim loss = 562.143, time = 0.223 s
332/1000, rel loss = 49278.714, time = 1.471 s
333/1000, sim loss = 561.301, time = 0.214 s
334/1000, rel loss = 49121.172, time = 1.479 s
335/1000, sim loss = 560.480, time = 0.217 s
336/1000, rel loss = 48942.913, time = 1.462 s
337/1000, sim loss = 559.678, time = 0.218 s
338/1000, rel loss = 48684.400, time = 1.490 s
339/1000, sim loss = 558.878, time = 0.221 s
340/1000, rel loss = 48532.069, time = 1.475 s
X-EN: acc of top [1, 10, 50, 100] = [ 0.4134  0.7364  0.8801  0.9224], mean = 76.228, mrr = 0.523, time = 5.607 s 
EN-X: acc of top [1, 10, 50, 100] = [ 0.4004  0.7093  0.8631  0.9087], mean = 81.392, mrr = 0.505, time = 5.632 s 
341/1000, sim loss = 558.087, time = 0.222 s
342/1000, rel loss = 48401.905, time = 1.493 s
343/1000, sim loss = 557.320, time = 0.219 s
344/1000, rel loss = 48164.236, time = 1.495 s
345/1000, sim loss = 556.560, time = 0.215 s
346/1000, rel loss = 48033.719, time = 1.518 s
347/1000, sim loss = 555.809, time = 0.226 s
348/1000, rel loss = 47809.107, time = 1.511 s
349/1000, sim loss = 555.074, time = 0.222 s
350/1000, rel loss = 47743.127, time = 1.501 s
X-EN: acc of top [1, 10, 50, 100] = [ 0.4141  0.736   0.8815  0.9239], mean = 74.307, mrr = 0.525, time = 5.627 s 
EN-X: acc of top [1, 10, 50, 100] = [ 0.4011  0.711   0.8639  0.9093], mean = 79.462, mrr = 0.506, time = 5.685 s 
351/1000, sim loss = 554.328, time = 0.216 s
352/1000, rel loss = 47505.210, time = 1.473 s
353/1000, sim loss = 553.610, time = 0.217 s
354/1000, rel loss = 47323.454, time = 1.476 s
355/1000, sim loss = 552.893, time = 0.221 s
356/1000, rel loss = 47151.768, time = 1.540 s
357/1000, sim loss = 552.187, time = 0.219 s
358/1000, rel loss = 46966.666, time = 1.494 s
359/1000, sim loss = 551.476, time = 0.213 s
360/1000, rel loss = 46799.406, time = 1.503 s
X-EN: acc of top [1, 10, 50, 100] = [ 0.4142  0.7369  0.883   0.9257], mean = 72.736, mrr = 0.525, time = 5.592 s 
EN-X: acc of top [1, 10, 50, 100] = [ 0.4027  0.7122  0.8651  0.911 ], mean = 77.827, mrr = 0.508, time = 5.659 s 
361/1000, sim loss = 550.775, time = 0.216 s
362/1000, rel loss = 46675.149, time = 1.507 s
363/1000, sim loss = 550.094, time = 0.217 s
364/1000, rel loss = 46492.536, time = 1.516 s
365/1000, sim loss = 549.423, time = 0.224 s
366/1000, rel loss = 46378.231, time = 1.552 s
367/1000, sim loss = 548.761, time = 0.211 s
368/1000, rel loss = 46247.657, time = 1.562 s
369/1000, sim loss = 548.093, time = 0.214 s
370/1000, rel loss = 46014.003, time = 1.537 s
X-EN: acc of top [1, 10, 50, 100] = [ 0.4137  0.7379  0.8841  0.9263], mean = 71.167, mrr = 0.525, time = 5.704 s 
EN-X: acc of top [1, 10, 50, 100] = [ 0.4031  0.7122  0.8661  0.9116], mean = 76.312, mrr = 0.508, time = 5.588 s 
371/1000, sim loss = 547.435, time = 0.219 s
372/1000, rel loss = 45830.152, time = 1.492 s
373/1000, sim loss = 546.780, time = 0.209 s
374/1000, rel loss = 45676.505, time = 1.492 s
375/1000, sim loss = 546.133, time = 0.218 s
376/1000, rel loss = 45551.462, time = 1.497 s
377/1000, sim loss = 545.494, time = 0.209 s
378/1000, rel loss = 45417.698, time = 1.481 s
379/1000, sim loss = 544.852, time = 0.209 s
380/1000, rel loss = 45266.046, time = 1.497 s
X-EN: acc of top [1, 10, 50, 100] = [ 0.4144  0.7386  0.8843  0.928 ], mean = 69.797, mrr = 0.526, time = 5.575 s 
EN-X: acc of top [1, 10, 50, 100] = [ 0.4034  0.7126  0.8672  0.9122], mean = 74.909, mrr = 0.508, time = 5.584 s 
381/1000, sim loss = 544.221, time = 0.226 s
382/1000, rel loss = 45044.515, time = 1.485 s
383/1000, sim loss = 543.620, time = 0.221 s
384/1000, rel loss = 44891.356, time = 2.460 s
385/1000, sim loss = 543.003, time = 0.224 s
386/1000, rel loss = 44788.525, time = 1.486 s
387/1000, sim loss = 542.409, time = 0.222 s
388/1000, rel loss = 44729.165, time = 1.498 s
389/1000, sim loss = 541.823, time = 0.220 s
390/1000, rel loss = 44546.296, time = 1.491 s
X-EN: acc of top [1, 10, 50, 100] = [ 0.4156  0.7387  0.8854  0.9292], mean = 68.389, mrr = 0.527, time = 5.586 s 
EN-X: acc of top [1, 10, 50, 100] = [ 0.403   0.7133  0.8672  0.9126], mean = 73.660, mrr = 0.509, time = 5.579 s 
391/1000, sim loss = 541.243, time = 0.225 s
392/1000, rel loss = 44402.532, time = 1.489 s
393/1000, sim loss = 540.674, time = 0.215 s
394/1000, rel loss = 44257.897, time = 1.506 s
395/1000, sim loss = 540.084, time = 0.220 s
396/1000, rel loss = 44189.218, time = 1.488 s
397/1000, sim loss = 539.528, time = 0.215 s
398/1000, rel loss = 43987.047, time = 1.507 s
399/1000, sim loss = 538.959, time = 0.215 s
400/1000, rel loss = 43870.684, time = 1.501 s
X-EN: acc of top [1, 10, 50, 100] = [ 0.4146  0.7397  0.8869  0.9299], mean = 67.248, mrr = 0.526, time = 5.583 s 
