**********************./dbp_yg_15k_V1***********************
neg param 0.1 ; split ; sim param 0.05 ; inner sim param 0.05
ents: 15000 + 3818 = 15000
ents: 15000 + 3357 = 15000
all ents: 25500
all rels: 223 30 253
all triples: 33748 + 36569 = 70317
To align: 10500
sparse sim mat to sparse tensor
sparse sim mat to sparse tensor
sparse sim mat to sparse tensor
229/1000, sim loss = 564.121, time = 0.291 s
230/1000, rel loss = 32487.559, time = 0.865 s
231/1000, sim loss = 563.802, time = 0.289 s
232/1000, rel loss = 32292.774, time = 0.864 s
233/1000, sim loss = 563.486, time = 0.290 s
234/1000, rel loss = 32058.402, time = 0.872 s
235/1000, sim loss = 563.178, time = 0.291 s
236/1000, rel loss = 31828.493, time = 0.859 s
237/1000, sim loss = 562.867, time = 0.292 s
238/1000, rel loss = 31688.637, time = 0.860 s
239/1000, sim loss = 562.560, time = 0.291 s
240/1000, rel loss = 31436.550, time = 0.872 s
241/1000, sim loss = 562.268, time = 0.291 s
242/1000, rel loss = 31215.346, time = 0.864 s
243/1000, sim loss = 561.983, time = 0.292 s
244/1000, rel loss = 31027.034, time = 0.867 s
245/1000, sim loss = 561.696, time = 0.291 s
246/1000, rel loss = 30819.321, time = 0.863 s
247/1000, sim loss = 561.423, time = 0.291 s
248/1000, rel loss = 30639.754, time = 0.864 s
249/1000, sim loss = 561.139, time = 0.290 s
250/1000, rel loss = 30459.340, time = 0.862 s
251/1000, sim loss = 560.862, time = 0.292 s
252/1000, rel loss = 30257.947, time = 0.864 s
253/1000, sim loss = 560.590, time = 0.289 s
254/1000, rel loss = 30107.082, time = 0.865 s
255/1000, sim loss = 560.330, time = 0.290 s
256/1000, rel loss = 29878.035, time = 0.869 s
257/1000, sim loss = 560.062, time = 0.292 s
258/1000, rel loss = 29705.056, time = 0.855 s
259/1000, sim loss = 559.797, time = 0.293 s
260/1000, rel loss = 29536.566, time = 0.869 s
261/1000, sim loss = 559.537, time = 0.291 s
262/1000, rel loss = 29354.035, time = 0.861 s
263/1000, sim loss = 559.281, time = 0.288 s
264/1000, rel loss = 29156.985, time = 0.866 s
265/1000, sim loss = 559.025, time = 0.293 s
266/1000, rel loss = 29000.583, time = 0.870 s
267/1000, sim loss = 558.773, time = 0.292 s
268/1000, rel loss = 28867.713, time = 0.864 s
269/1000, sim loss = 558.526, time = 0.291 s
270/1000, rel loss = 28682.369, time = 0.866 s
271/1000, sim loss = 558.284, time = 0.290 s
272/1000, rel loss = 28506.777, time = 0.869 s
273/1000, sim loss = 558.036, time = 0.292 s
274/1000, rel loss = 28350.103, time = 0.863 s
275/1000, sim loss = 557.802, time = 0.290 s
276/1000, rel loss = 28186.051, time = 0.864 s
277/1000, sim loss = 557.573, time = 0.289 s
278/1000, rel loss = 28054.413, time = 0.865 s
279/1000, sim loss = 557.346, time = 0.293 s
280/1000, rel loss = 27880.587, time = 0.866 s
281/1000, sim loss = 557.119, time = 0.292 s
282/1000, rel loss = 27727.014, time = 0.868 s
283/1000, sim loss = 556.892, time = 0.289 s
284/1000, rel loss = 27548.857, time = 0.870 s
285/1000, sim loss = 556.670, time = 0.291 s
286/1000, rel loss = 27435.848, time = 0.866 s
287/1000, sim loss = 556.456, time = 0.290 s
288/1000, rel loss = 27251.992, time = 0.862 s
289/1000, sim loss = 556.239, time = 0.290 s
290/1000, rel loss = 27084.714, time = 0.872 s
291/1000, sim loss = 556.025, time = 0.292 s
292/1000, rel loss = 26939.518, time = 0.863 s
293/1000, sim loss = 555.819, time = 0.292 s
294/1000, rel loss = 26788.841, time = 0.862 s
295/1000, sim loss = 555.619, time = 0.287 s
296/1000, rel loss = 26622.156, time = 0.871 s
297/1000, sim loss = 555.414, time = 0.290 s
298/1000, rel loss = 26511.737, time = 0.866 s
299/1000, sim loss = 555.214, time = 0.291 s
300/1000, rel loss = 26364.730, time = 0.870 s
X-EN: acc of top [1, 10, 50, 100] = [ 0.1678  0.4641  0.7448  0.84  ], mean = 149.178, mrr = 0.267, time = 5.655 s 
EN-X: acc of top [1, 10, 50, 100] = [ 0.1848  0.4578  0.7378  0.8388], mean = 157.427, mrr = 0.277, time = 5.657 s 
301/1000, sim loss = 555.018, time = 0.294 s
302/1000, rel loss = 26221.463, time = 0.870 s
303/1000, sim loss = 554.825, time = 0.294 s
304/1000, rel loss = 26103.897, time = 0.870 s
305/1000, sim loss = 554.631, time = 0.293 s
306/1000, rel loss = 25936.919, time = 0.871 s
307/1000, sim loss = 554.446, time = 0.293 s
308/1000, rel loss = 25802.820, time = 0.867 s
309/1000, sim loss = 554.258, time = 0.294 s
310/1000, rel loss = 25693.133, time = 0.866 s
311/1000, sim loss = 554.076, time = 0.292 s
312/1000, rel loss = 25529.164, time = 0.870 s
313/1000, sim loss = 553.903, time = 0.293 s
314/1000, rel loss = 25397.820, time = 0.876 s
315/1000, sim loss = 553.717, time = 0.292 s
316/1000, rel loss = 25305.685, time = 0.872 s
317/1000, sim loss = 553.534, time = 0.293 s
318/1000, rel loss = 25195.602, time = 0.870 s
319/1000, sim loss = 553.362, time = 0.291 s
320/1000, rel loss = 25051.062, time = 0.867 s
321/1000, sim loss = 553.190, time = 0.295 s
322/1000, rel loss = 24951.288, time = 0.870 s
323/1000, sim loss = 553.016, time = 0.292 s
324/1000, rel loss = 24786.542, time = 0.863 s
325/1000, sim loss = 552.852, time = 0.292 s
326/1000, rel loss = 24712.549, time = 0.869 s
327/1000, sim loss = 552.689, time = 0.293 s
328/1000, rel loss = 24580.019, time = 0.870 s
329/1000, sim loss = 552.519, time = 0.292 s
330/1000, rel loss = 24462.592, time = 0.863 s
331/1000, sim loss = 552.354, time = 0.292 s
332/1000, rel loss = 24307.939, time = 0.869 s
333/1000, sim loss = 552.193, time = 0.293 s
334/1000, rel loss = 24193.461, time = 0.864 s
335/1000, sim loss = 552.036, time = 0.294 s
336/1000, rel loss = 24075.783, time = 0.874 s
337/1000, sim loss = 551.877, time = 0.295 s
338/1000, rel loss = 23985.646, time = 0.877 s
339/1000, sim loss = 551.716, time = 0.291 s
340/1000, rel loss = 23817.470, time = 0.867 s
341/1000, sim loss = 551.561, time = 0.293 s
342/1000, rel loss = 23759.189, time = 0.871 s
343/1000, sim loss = 551.408, time = 0.297 s
344/1000, rel loss = 23611.699, time = 0.871 s
345/1000, sim loss = 551.257, time = 0.294 s
346/1000, rel loss = 23517.832, time = 0.874 s
347/1000, sim loss = 551.106, time = 0.290 s
348/1000, rel loss = 23438.823, time = 0.863 s
349/1000, sim loss = 550.955, time = 0.292 s
350/1000, rel loss = 23307.130, time = 0.865 s
351/1000, sim loss = 550.812, time = 0.291 s
352/1000, rel loss = 23198.846, time = 0.857 s
353/1000, sim loss = 550.669, time = 0.295 s
354/1000, rel loss = 23108.631, time = 0.871 s
355/1000, sim loss = 550.524, time = 0.292 s
356/1000, rel loss = 22990.826, time = 0.873 s
357/1000, sim loss = 550.376, time = 0.293 s
358/1000, rel loss = 22880.620, time = 0.871 s
359/1000, sim loss = 550.233, time = 0.291 s
360/1000, rel loss = 22773.881, time = 0.868 s
361/1000, sim loss = 550.093, time = 0.293 s
362/1000, rel loss = 22671.310, time = 0.877 s
363/1000, sim loss = 549.951, time = 0.291 s
364/1000, rel loss = 22635.503, time = 0.862 s
365/1000, sim loss = 549.818, time = 0.290 s
366/1000, rel loss = 22497.480, time = 0.869 s
367/1000, sim loss = 549.678, time = 0.292 s
368/1000, rel loss = 22413.044, time = 0.872 s
369/1000, sim loss = 549.550, time = 0.294 s
370/1000, rel loss = 22242.005, time = 0.867 s
371/1000, sim loss = 549.420, time = 0.294 s
372/1000, rel loss = 22233.383, time = 0.869 s
373/1000, sim loss = 549.286, time = 0.291 s
374/1000, rel loss = 22135.432, time = 0.867 s
375/1000, sim loss = 549.153, time = 0.293 s
376/1000, rel loss = 22025.041, time = 0.873 s
377/1000, sim loss = 549.018, time = 0.295 s
378/1000, rel loss = 21925.110, time = 0.873 s
379/1000, sim loss = 548.895, time = 0.292 s
380/1000, rel loss = 21860.525, time = 0.864 s
381/1000, sim loss = 548.778, time = 0.290 s
382/1000, rel loss = 21755.661, time = 0.863 s
383/1000, sim loss = 548.659, time = 0.290 s
384/1000, rel loss = 21650.830, time = 0.867 s
385/1000, sim loss = 548.537, time = 0.292 s
386/1000, rel loss = 21581.864, time = 0.863 s
387/1000, sim loss = 548.415, time = 0.294 s
388/1000, rel loss = 21451.323, time = 0.876 s
389/1000, sim loss = 548.294, time = 0.294 s
390/1000, rel loss = 21413.868, time = 0.865 s
391/1000, sim loss = 548.169, time = 0.293 s
392/1000, rel loss = 21271.903, time = 0.868 s
393/1000, sim loss = 548.054, time = 0.290 s
394/1000, rel loss = 21219.026, time = 0.864 s
395/1000, sim loss = 547.938, time = 0.292 s
396/1000, rel loss = 21138.961, time = 0.880 s
397/1000, sim loss = 547.818, time = 0.292 s
398/1000, rel loss = 21018.863, time = 0.869 s
399/1000, sim loss = 547.708, time = 0.291 s
400/1000, rel loss = 20952.932, time = 0.866 s
X-EN: acc of top [1, 10, 50, 100] = [ 0.1846  0.4904  0.7791  0.8676], mean = 116.009, mrr = 0.288, time = 5.663 s 
EN-X: acc of top [1, 10, 50, 100] = [ 0.2003  0.4863  0.7787  0.8694], mean = 126.948, mrr = 0.297, time = 5.657 s 
401/1000, sim loss = 547.589, time = 0.294 s
402/1000, rel loss = 20862.314, time = 0.871 s
403/1000, sim loss = 547.478, time = 0.291 s
404/1000, rel loss = 20811.688, time = 0.873 s
405/1000, sim loss = 547.365, time = 0.292 s
406/1000, rel loss = 20703.513, time = 0.869 s
407/1000, sim loss = 547.257, time = 0.293 s
408/1000, rel loss = 20626.036, time = 0.869 s
409/1000, sim loss = 547.149, time = 0.294 s
410/1000, rel loss = 20529.927, time = 0.868 s
411/1000, sim loss = 547.039, time = 0.291 s
412/1000, rel loss = 20486.498, time = 0.874 s
413/1000, sim loss = 546.928, time = 0.292 s
414/1000, rel loss = 20384.679, time = 0.870 s
