**************************./fb_dbp**************************
neg param 0.1 ; split ; sim param 0.05 ; inner sim param 0.05
ents: 25457 + 23270 = 25542
ents: 28502 + 10810 = 29861
all ents: 47661
all rels: 882 407 1289
all triples: 111974 + 96414 = 208388
To align: 17800
sparse sim mat to sparse tensor
sparse sim mat to sparse tensor
sparse sim mat to sparse tensor
X-EN: acc of top [1, 10, 50, 100] = [ 0.068   0.2003  0.4052  0.5503], mean = 463.892, mrr = 0.116, time = 17.043 s 
EN-X: acc of top [1, 10, 50, 100] = [ 0.0925  0.2408  0.4557  0.5833], mean = 443.351, mrr = 0.146, time = 16.612 s 
501/1000, sim loss = 901.415, time = 0.250 s
502/1000, rel loss = 54758.220, time = 1.908 s
503/1000, sim loss = 901.296, time = 0.246 s
504/1000, rel loss = 54624.784, time = 1.896 s
505/1000, sim loss = 901.174, time = 0.264 s
506/1000, rel loss = 54503.015, time = 1.884 s
507/1000, sim loss = 901.046, time = 0.251 s
508/1000, rel loss = 54182.012, time = 1.888 s
509/1000, sim loss = 900.924, time = 0.246 s
510/1000, rel loss = 54236.090, time = 1.918 s
511/1000, sim loss = 900.837, time = 0.248 s
512/1000, rel loss = 54019.021, time = 1.870 s
513/1000, sim loss = 900.737, time = 0.258 s
514/1000, rel loss = 53993.365, time = 1.907 s
515/1000, sim loss = 900.649, time = 0.250 s
516/1000, rel loss = 53833.489, time = 1.937 s
517/1000, sim loss = 900.517, time = 0.265 s
518/1000, rel loss = 53749.720, time = 1.981 s
519/1000, sim loss = 900.408, time = 0.293 s
520/1000, rel loss = 53615.930, time = 2.005 s
521/1000, sim loss = 900.322, time = 0.273 s
522/1000, rel loss = 53491.161, time = 2.057 s
523/1000, sim loss = 900.200, time = 0.267 s
524/1000, rel loss = 53283.542, time = 1.896 s
525/1000, sim loss = 900.064, time = 0.260 s
526/1000, rel loss = 53114.818, time = 1.927 s
527/1000, sim loss = 899.975, time = 0.256 s
528/1000, rel loss = 53099.990, time = 1.883 s
529/1000, sim loss = 899.839, time = 0.260 s
